t,x,y,vx,vy,V
50.1167,8.90685,9.3879,-2.40243,-6.30665,6.74874
50.1167,16.0601,17.4983,0.656528,5.38497,5.42485
50.1167,15.1453,4.65097,4.84383,7.45014,8.88635
50.1167,1.54171,10.6846,-0.235161,2.25309,2.26533
50.1167,2.17889,2.13983,-1.53485,0.836409,1.74795
50.1167,2.63151,17.8792,4.24063,6.01249,7.35752
50.1167,11.4125,12.4927,-1.82265,7.85371,8.06243
50.1167,6.98526,10.3906,-9.7015,-0.75773,9.73105
50.1167,3.68114,13.5627,-9.37421,-3.87514,10.1436
50.1167,18.741,3.11157,-8.43446,-0.463916,8.44721
50.1167,1.12924,5.85946,0.422209,10.0658,10.0747
50.1167,6.65187,14.1871,10.4571,11.5159,15.5553
50.1167,14.9517,2.26279,0.188925,-10.0886,10.0903
50.1167,1.29627,13.8013,-6.96177,13.921,15.5647
50.1167,15.1845,7.7429,-2.5471,-3.35707,4.21399
50.1167,11.7555,8.59541,-1.41024,-11.5639,11.6496
50.1167,5.29424,5.6482,0.740959,7.50976,7.54623
50.1167,6.16663,17.2147,-6.31557,5.82575,8.59219
50.1167,3.45016,9.2873,-14.87,6.31275,16.1545
50.1167,14.1216,15.3273,10.4922,0.841411,10.5259
50.1167,9.08803,1.36773,-1.34985,-7.82912,7.94464
50.1167,8.87049,14.7556,8.4841,-8.9802,12.3541
50.1167,17.2145,5.63829,-10.4278,10.8251,15.0307
50.1167,7.10468,6.90212,-2.92386,-6.4496,7.08141
50.1167,4.56944,1.72641,0.663086,2.71812,2.79783
50.4168,9.70454,9.43685,-0.718797,-1.25285,1.44441
50.4168,16.0154,17.1311,0.656528,5.38497,5.42485
50.4168,14.8695,5.08341,3.81542,-10.2987,10.9827
50.4168,1.55774,10.5309,-0.235161,2.25309,2.26533
50.4168,2.28357,2.08278,-1.53485,0.836409,1.74795
50.4168,2.34228,17.4691,4.24063,6.01249,7.35752
50.4168,11.5368,11.957,-1.82265,7.85371,8.06243
50.4168,6.89769,10.8315,1.71894,-6.69026,6.90756
50.4168,3.82892,13.8351,10.1764,-4.22375,11.0181
50.4168,18.7113,2.92211,0.366097,16.0872,16.0913
50.4168,1.10885,5.17295,-0.382048,10.0659,10.0731
50.4168,6.43023,13.3935,-9.09355,11.8646,14.9486
50.4168,14.8842,2.0103,1.21733,7.66027,7.75639
50.4168,1.77108,12.8519,-6.96177,13.921,15.5647
50.4168,15.3583,7.97186,-2.5471,-3.35707,4.21399
50.4168,11.9671,9.37605,-14.5143,-10.6852,18.0233
50.4168,5.22427,5.12249,1.02795,7.70944,7.77767
50.4168,6.59737,16.8174,-6.31557,5.82575,8.59219
50.4168,4.46434,8.85675,-14.87,6.31275,16.1545
50.4168,13.406,15.2699,10.4922,0.841411,10.5259
50.4168,9.1801,1.9017,-1.34985,-7.82912,7.94464
50.4168,8.29185,15.3681,8.4841,-8.9802,12.3541
50.4168,17.8175,5.12106,-2.35943,-5.72539,6.1925
50.4168,7.32352,7.35552,-3.21086,-6.64927,7.38393
50.4168,4.52421,1.54102,0.663086,2.71812,2.79783
50.7169,9.75356,9.5223,-0.718797,-1.25285,1.44441
50.7169,15.9706,16.7638,0.656528,5.38497,5.42485
50.7169,14.6093,5.78581,3.81542,-10.2987,10.9827
50.7169,1.47703,9.72601,1.64,14.8454,14.9357
50.7169,2.37577,2.02959,-0.0624963,0.379814,0.384921
50.7169,2.05306,17.0591,4.24063,6.01249,7.35752
50.7169,11.4925,11.8188,2.91113,-3.26898,4.37731
50.7169,6.8626,10.4389,-0.152077,12.7262,12.7271
50.7169,3.4972,14.3876,2.95447,-9.51561,9.96372
50.7169,18.6864,1.82492,0.366097,16.0872,16.0913
50.7169,1.13756,4.48643,-0.421733,10.0659,10.0747
50.7169,6.96829,13.4332,-7.22253,-7.55189,10.4497
50.7169,14.8012,1.48785,1.21733,7.66027,7.75639
50.7169,1.98031,12.2893,-1.615,6.62053,6.81467
50.7169,15.532,8.20082,-2.5471,-3.35707,4.21399
50.7169,13.1255,9.70742,-19.2481,0.437497,19.2531
50.7169,5.15417,4.59669,1.02795,7.70944,7.77767
50.7169,6.03282,17.264,9.5981,-7.66625,12.2839
50.7169,5.47211,8.42819,-10.2469,4.90112,11.3587
50.7169,12.6904,15.2125,10.4922,0.841411,10.5259
50.7169,9.27216,2.43567,-1.34985,-7.82912,7.94464
50.7169,8.7085,15.1366,-7.42957,4.5118,8.69223
50.7169,17.9784,5.51155,-2.35943,-5.72539,6.1925
50.7169,7.54892,7.80704,-7.83402,-5.23764,9.42363
50.7169,4.49147,1.35179,-0.809263,3.17472,3.27624
51.017,9.93725,9.76747,-8.23941,-10.202,13.1137
51.017,15.9258,16.3965,0.656528,5.38497,5.42485
51.017,14.3491,6.48821,3.81542,-10.2987,10.9827
51.017,1.36518,8.71352,1.64,14.8454,14.9357
51.017,2.38519,1.99591,-2.49919,4.02567,4.73835
51.017,1.76384,16.649,4.24063,6.01249,7.35752
51.017,11.294,12.0417,2.91113,-3.26898,4.37731
51.017,7.07461,9.82345,-5.50916,6.02484,8.16392
51.017,3.29569,15.0366,2.95447,-9.51561,9.96372
51.017,18.6614,1.25722,0.364703,-16.0872,16.0913
51.017,1.16114,3.80769,2.01535,6.41987,6.72877
51.017,7.26643,13.8036,-1.58225,-3.36468,3.71814
51.017,14.7181,1.12586,1.21697,-7.66033,7.75639
51.017,2.09045,11.8378,-1.615,6.62053,6.81467
51.017,15.9911,8.20072,-14.5468,6.28709,15.8473
51.017,14.1529,9.90665,-7.24845,-9.20667,11.7176
51.017,5.08406,4.07088,1.02795,7.70944,7.77767
51.017,5.3782,17.7868,9.5981,-7.66625,12.2839
51.017,5.33557,8.02452,4.72675,8.82602,10.012
51.017,11.9748,15.1552,10.4922,0.841411,10.5259
51.017,9.36422,2.96964,-1.34985,-7.82912,7.94464
51.017,9.40968,14.9735,-13.0698,0.324591,13.0739
51.017,18.1393,5.90204,-2.35943,-5.72539,6.1925
51.017,8.58232,7.82146,-9.92995,6.48794,11.8616
51.017,4.54669,1.13526,-0.80966,3.17484,3.27646
51.3171,10.3907,10.2182,-3.8534,-0.279019,3.86349
51.3171,15.881,16.0293,0.656528,5.38497,5.42485
51.3171,14.0889,7.19061,3.81542,-10.2987,10.9827
51.3171,1.25333,7.70102,1.64,14.8454,14.9357
51.3171,2.42835,1.60284,1.92748,4.96788,5.3287
51.3171,1.05174,16.6732,2.91275,-0.989606,3.07627
51.3171,11.204,12.5097,-1.47488,-13.192,13.2741
51.3171,7.45035,9.41254,-5.50916,6.02484,8.16392
51.3171,3.53475,15.2513,-4.15571,-2.51379,4.85686
51.3171,18.6365,2.35441,0.364703,-16.0872,16.0913
51.3171,1.26125,3.58028,-4.18183,3.24402,5.29257
51.3171,7.22171,13.9629,10.416,2.15892,10.6374
51.3171,14.6351,1.64832,1.21697,-7.66033,7.75639
51.3171,2.2006,11.3862,-1.615,6.62053,6.81467
51.3171,16.8847,7.88155,-3.13167,-6.41916,7.14233
51.3171,14.6473,10.5346,-7.24845,-9.20667,11.7176
51.3171,5.01395,3.54508,1.02795,7.70944,7.77767
51.3171,4.72359,18.3097,9.5981,-7.66625,12.2839
51.3171,5.01319,7.42256,4.72675,8.82602,10.012
51.3171,12.3891,15.1901,-12.9553,-1.07637,12.9999
51.3171,9.45629,3.5036,-1.34985,-7.82912,7.94464
51.3171,9.32378,14.9293,-1.62067,-3.28123,3.65965
51.3171,18.3987,6.1829,-13.7745,6.98086,15.4425
51.3171,9.25957,7.37896,-9.92995,6.48794,11.8616
51.3171,4.87273,1.15265,-7.40283,-1.08365,7.48172
